_id,user_id
61b47ed7b9201a1700e26d45,23651
61b47ffeb9201a1700e26d4d,23852
61b4ae1a540e4902d99d0490,22967
61b4d5a22cb6e0a2ced5da8d,11151
61b4d5d62cb6e0a2ced5da94,20465
61b4d5fc2cb6e0a2ced5da97,18714
61b4df342cb6e0a2ced5db68,19883
61b4e11d2cb6e0a2ced5db7a,12707
61b4e6e72cb6e0a2ced5dbe4,17082
61b4e8f52cb6e0a2ced5dc04,19287
61b4eb772cb6e0a2ced5dc33,17222
61b4ebb12cb6e0a2ced5dc37,19048
61b5637a2cb6e0a2ced5dc5a,8977
61b70d951263b4124e043180,9972
61b70ea41263b4124e0431c3,11844
61b70f321263b4124e0431ed,11693
61b70fb91263b4124e04322e,17485
61b710431263b4124e043268,17786
61b710d81263b4124e043290,9760
61b711781263b4124e0432a2,19230
61b712441263b4124e0432c0,19139
61b715851263b4124e04336a,19547
61b715cb1263b4124e04337a,19419
61b7179e1263b4124e043429,15399
61b718771263b4124e043478,20928
61b718901263b4124e043487,21136
61b719501263b4124e0434df,20070
61b719a71263b4124e043509,19864
61b719b01263b4124e04350e,20552
61b719e11263b4124e04352b,20996
61b71ac11263b4124e04359d,19892
61b71b871263b4124e043604,15013
61b71c6d1263b4124e04367e,21407
61b71e521263b4124e043769,23155
61b7202d1263b4124e04384f,14534
61b721ca1263b4124e04391c,23340
61b722a41263b4124e043987,23329
61b722c51263b4124e043993,23371
61b7233a1263b4124e0439c9,24481
61bb23989cde6503395655dd,14684
61c4653ce1bdf7cef6f845f9,22865
61c59311e1bdf7cef6f847c2,13834
61cc46f8e1bdf7cef6f84a9a,20305
61cda47be1bdf7cef6f84bc1,16629
61d4180e26aa1cab9d164df4,20397
61d720bb57b324e6c905ea44,21009
61d724c357b324e6c905ec09,22201
61d724e657b324e6c905ec0e,21724
61d7272857b324e6c905ec9f,24265
61e134532e56245fc276815d,21388
61e905c940850391169a9764,27844
61e9064340850391169a9766,26213
61ea447740850391169a9856,27909
61ea8dbc40850391169a98d2,27939
61ee814a40850391169a99c6,27989
61eea55440850391169a9a08,28002
61eeba2540850391169a9a75,28026
61eec27c40850391169a9a9a,28033
61eec35440850391169a9a9f,28034
61eec47340850391169a9aa4,28035
61eec5ba40850391169a9aa9,28036
61efcbe340850391169a9b38,28070
61efce1b40850391169a9b3f,28071
61f1932340850391169a9bb9,26844
61f2600740850391169a9c15,28152
61f26d0740850391169a9c25,28156
61f2a44340850391169a9c53,28168
61f2a4d240850391169a9c58,28169
61f2a56b40850391169a9c5d,28170
61f2a5e040850391169a9c62,28171
61f2a7ab40850391169a9c6f,28172
61f2a87b40850391169a9c76,28174
61f2a9be40850391169a9c7d,28175
61f2aa4840850391169a9c82,28176
61f2ab1040850391169a9c8d,28177
61f2ac4e40850391169a9c94,28178
61f2acd640850391169a9c99,28180
61f399ec40850391169a9cde,28194
61f6947c40850391169a9e37,28273
61f6953c40850391169a9e3c,28274
61f6962540850391169a9e45,28275
61f6970040850391169a9e4a,28276
61f6976a40850391169a9e4f,28277
61f6981740850391169a9e54,28278
61f6999f40850391169a9e61,28279
61f69a4a40850391169a9e66,28280
61f69b0b40850391169a9e6b,28281
61f69b8d40850391169a9e70,28282
61f6a17040850391169a9e7e,28283
61f6a20e40850391169a9e83,28284
61f6a2f840850391169a9e88,28285
61f6a5ed40850391169a9e93,28286
61f6a6d940850391169a9e98,28287
61f7cf6240850391169a9f78,28345
61f7d7ee40850391169a9f8a,28349
61f7d96740850391169a9f9a,28350
61f8c83e40850391169aa01a,28379
61f8c94540850391169aa01f,28380
61f8e6ef40850391169aa04d,28390
61f93f8a40850391169aa14f,28430
61f954df40850391169aa161,28434
61fa2f6d40850391169aa1b3,24861
61fcc5bb40850391169aa2ca,27970
61fce6f240850391169aa2ee,28539
61fe4abe40850391169aa385,28470
6200b7eb40850391169aa453,28620
6200f7dd40850391169aa4aa,28470
6201110640850391169aa4e4,28657
6201119c40850391169aa4e9,28658
6201315e40850391169aa53c,28672
620213c740850391169aa55d,24481
6202215040850391169aa574,28685
62023e0040850391169aa5a9,28697
6202457c40850391169aa5d4,28608
62024e7240850391169aa5fa,28645
6203aafa40850391169aa734,28299
6203b19d40850391169aa74b,28787
6204a86440850391169aa80a,28833
6204e2ab40850391169aa895,28866
620608f940850391169aa93c,28037
620a5ccebcad6bb5d80eb33d,29200
620a9ee2bcad6bb5d80eb37e,29367
620cd114b85bb3aed97c6f0e,29790
620cd1dab85bb3aed97c6f16,29794
620cd2cbb85bb3aed97c6f20,29796
620cd38cb85bb3aed97c6f25,29797
620cd42ab85bb3aed97c6f2a,29798
620e0434b85bb3aed97c6ff3,29837
620e4630b85bb3aed97c709e,29868
620f66a4b85bb3aed97c71f0,30031
62136005b85bb3aed97c7378,30709
62136178b85bb3aed97c737d,30710
621371bbb85bb3aed97c73a4,30718
62138ac8b85bb3aed97c73f6,30733
62138bdeb85bb3aed97c7404,30737
62147a08b85bb3aed97c7459,30793
6214e2edb85bb3aed97c751e,30845
62152068b85bb3aed97c753f,30206
62166e19b85bb3aed97c7622,31006
62171e2ab85bb3aed97c764b,30813
62171eb6b85bb3aed97c7653,31012
62177b82b85bb3aed97c7734,31049
62177df8b85bb3aed97c7744,31053
6217b683b85bb3aed97c77c2,30845
62186b95b85bb3aed97c77f1,31080
621880e0b85bb3aed97c7810,31085
6218ef33b85bb3aed97c78c9,30711
621a54d5432e9a0166de2a80,15746
621bb863432e9a0166de2abf,31167
621c66ff432e9a0166de2ae3,31248
621c9812432e9a0166de2b15,31256
621c9c13432e9a0166de2b21,31260
621dee7847e93db2cbd1c891,31301
621deefa47e93db2cbd1c896,31302
621df73747e93db2cbd1c8a8,31303
621df7fe47e93db2cbd1c8ad,31304
621df8e747e93db2cbd1c8b2,31305
